id,title,price,address,url,property_type,modifiedAt,active,lat,lng
64,Quartos para estudantes ou pessoas que trabalha em Recife .,R$ 400,"Rua Alexandria, Engenho do Meio, Recife",https://pe.olx.com.br/grande-recife/imoveis/quartos-para-estudantes-ou-pessoas-que-trabalha-em-recife-1347433153,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0629303,-34.9421816
65,"APARTAMENTO NO CORDEIRO, BONGI",R$ 850,"Rua Xavier Sobrinho, Prado, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-no-cordeiro-bongi-1349005680,Apartamentos,19/11/2024 22:03:04,True,-8.0589575,-34.9208872
66,LOCAÇÃO - APARTAMENTO 01 QUARTO NA IPUTINGA,R$ 730,"Rua Pereira Coutinho Filho, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/locacao-apartamento-01-quarto-na-iputinga-1346582643,Apartamentos,19/11/2024 22:03:04,True,-8.0373592,-34.9321246
67,Vende-se um Excelente Apartamento Portal de são Lourenço.,R$ 600,"Rua Engenheiro Florisval Silvestre Neto, Caxangá, Recife",https://pe.olx.com.br/grande-recife/imoveis/vende-se-um-excelente-apartamento-portal-de-sao-lourenco-1346496132,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0232572,-34.9506925
68,Alugo apto em Rio doce,R$ 500,"Avenida Maurício de Nassau, Iputinga, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-apto-em-rio-doce-1346415505,Apartamentos,19/11/2024 22:03:04,True,-8.0350183,-34.9412013
69,Quarto individual para estudante mulher em casa compartilhada a 10 minutos à pé da UFPE ,R$ 600,"Rua Mário Campelo, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/quarto-individual-para-estudante-mulher-em-casa-compartilhada-a-10-minutos-a-pe-da-ufpe-1346163339,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0562238,-34.9589319
70,Casa para estudante - Várzea,R$ 799,"Rua Cairbar Schutel, Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-para-estudante-varzea-1346149619,Casas,19/11/2024 22:03:04,True,-8.0437033,-34.9523116
71,Vaga para meninas em apartamento universitário ,R$ 434,"Rua Orós, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/vaga-para-meninas-em-apartamento-universitario-1346102943,Aluguel de quartos,19/11/2024 22:03:04,True,-8.0464936,-34.9236637
72,Kitnet com ou sem móveis no bairro do Cordeiro.,R$ 600,"Avenida General San Martin, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-com-ou-sem-moveis-no-bairro-do-cordeiro-1346049210,Apartamentos,19/11/2024 22:03:04,True,-8.0602987,-34.9256774
73,Casa Apipucos Aluga-se,R$ 1.000,"Recife, Passarinho",https://pe.olx.com.br/grande-recife/imoveis/casa-apipucos-aluga-se-1323084775,Casas,19/11/2024 22:03:04,True,-8.055802,-34.921399
74,EstrelaFlat110,R$ 240,"Rua Demócrito de Souza Filho, Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/estrelaflat110-1345698779,Apartamentos,19/11/2024 22:03:04,True,-8.057334,-34.9059977
75,Alugase quartos para solteiros por temporada...,R$ 600,"Rua Pio IX, Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugase-quartos-para-solteiros-por-temporada-1329915150,Aluguel de quartos,19/11/2024 22:03:04,True,-23.6208095,-46.7168085
76,Alugo kitnet ,R$ 650,"Rua Capitão João Roma, Cordeiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/alugo-kitnet-1345547390,Apartamentos,19/11/2024 22:03:04,True,-8.0562443,-34.9249131
77,Casa pra alugar torrões,R$ 600,"Rua Doutor Antônio Correia de Oliveira, Torrões, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-pra-alugar-torroes-1345464671,Casas,19/11/2024 22:03:04,True,-8.065118,-34.933476
78,Kitnet ,R$ 500,"Rua São José, Caxangá, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnet-1345366325,Casas,19/11/2024 22:03:04,True,-8.0238191,-34.947507
79,Kitnets para alugar ,R$ 330,"Rua Governador Eduardo Henrique de Acioly Campos, Passarinho, Recife",https://pe.olx.com.br/grande-recife/imoveis/kitnets-para-alugar-1345199525,Casas,19/11/2024 22:03:04,True,-11.009881,-41.892123
